Institution,Code,Temporalis Area (mm^2),T Centroid (X),T centroid (Y),Joint (X),Joint (Y),Masseter Area (mm^2),M centroid (X),M centroid (Y),Joint Surface (X),Joint Surface (Y),Length (Lom),Length (Loc),Tiff file Length scalar,Med body weight (kg),Body Size Source (if not AKC),,Lever (T),Lever (M),Raw bite force (canine),Raw Bite Force (Molar),BFQ (canine),BFQ (Carnassial)
AMNH,63770,157280.173,1207.128,946.014,1221.34,1231.55,135447.267,920.906,1250.379,882.03,1541.84,778.7,1172.787,0.08813906,26.08,,chow chow,0.025,0.026,207.81,312.98,65.71,65.00
AMNH,165623,311648.859,1879.127,2065.137,1887.93,2458.55,218270.512,1220.648,2240.692,1204.18,2656.46,1219,1861.34,0.07400154,31.07,,german shep,0.029,0.031,232.37,354.81,65.42,65.76
AMNH,99663,284060.172,1370.049,1277.563,1353.99,1647.55,200318.036,1219.339,1870.761,1179.26,2238.08,1058,1504.79,0.07806727,31.07,,german shep,0.029,0.029,268.56,381.97,75.61,70.79
AMNH,17432,110456.94,960.38,925.474,960.04,1182.11,91587.584,822.733,1191.8,804.44,1447.99,707.9,1056.062,0.1060477,28.12,,irish setter,0.027,0.027,204.38,304.90,61.48,60.29
AMNH,90154,92058.117,1038.828,954.156,1060.58,1199.16,68989.632,452.145,1197.244,421.55,1440.06,674.1,1109.334,0.08712409,28.12,,irish setter,0.021,0.021,100.07,164.68,30.10,32.57
AMNH,100128,254095.099,1559.048,1862.166,1562.8,2236.58,168895.76,950.16,1946.422,931.04,2311.21,1102,1635.939,0.0975064,51.03,,irish wolfhound,0.037,0.036,337.25,500.65,68.34,67.21
AMNH,64000,214700.239,1528.851,1654.292,1534.23,1969.23,154835.582,1025.414,1870.058,996.35,2214.64,1047,1593.172,0.09420799,51.03,,irish wolfhound,0.030,0.033,249.75,380.04,50.61,51.02
AMNH,42899,258958.78,1329.568,1155.353,1363.47,1489.54,189517.701,719.622,1436.763,678.19,1781.85,951.3,1361.331,0.1089426,56.70,,newfoundland,0.037,0.038,493.07,705.60,93.17,88.46
AMNH,179936,61854.015,1459.714,1020.26,1430.69,1218.97,55227.531,593.971,640.144,616.6,889.94,624.2,692.617,0.05147437,6.35,,pekingnese,0.010,0.013,37.19,41.26,30.00,21.47
AMNH,204453,126529.943,1667.247,977.37,1636.95,1252.54,104524.935,612.537,1013.333,629.53,1278.13,703.9,825.896,0.0515039,6.35,,pekingnese,0.014,0.014,74.59,87.51,60.17,45.53
AMNH,35865,245556.899,1858.276,1666.058,1888.77,2020.63,165693.116,719.649,1898.03,659.43,2230.42,1068,1615.073,0.07400154,28.35,,rough collie,0.026,0.025,179.85,271.98,53.81,53.50
AMNH,99667,260542.298,1322.031,1497.428,1334.46,1863.57,174260.211,716.219,1867.606,665.59,2217.34,1083,1534.193,0.07806726,28.35,,rough collie,0.029,0.028,230.80,326.96,69.06,64.32
AMNH,204218,103117.131,865.122,868.622,878.91,1098.64,78969.495,425.569,1342.174,378.62,1567.42,723.1,1108.644,0.1089427,31.07,,german shep,0.025,0.025,166.09,254.65,46.76,47.20
AMNH,11154,81805.436,1029.836,803.604,1019.73,1059.46,54670.716,508.625,1185.657,504.56,1398.66,611.6,927.501,0.07037348,27.22,,airedale terrier,0.018,0.015,64.39,97.65,19.80,19.73
AMNH,63976,111699.716,905.14,996.019,903.03,1247.29,75104.875,432.305,1257.842,393.33,1492.85,692.4,1139.021,0.1000178,27.22,,airedale terrier,0.025,0.024,149.35,245.68,45.91,49.63
AMNH,16260,122116.607,1141.825,1003.1,1145.71,1261.07,99063.319,489.847,1228.89,439.82,1481.76,711.7,1146.261,0.1000179,19.28,,border collie,0.026,0.026,184.19,296.66,71.17,74.98
AMNH,16261,193179.700,1544.457,1458.433,1565.54,1728.35,136319.472,1035.017,1337.392,984.99,1620.88,869.9,1265.411,0.1089422,19.28,,border collie,0.029,0.031,317.68,462.12,122.74,116.81
AMNH,16263,141660.728,1054.777,1030.534,1055.42,1322.13,106068.312,971.034,1582.138,957.75,1850.38,766.6,1210.996,0.1016228,19.28,,border collie,0.030,0.027,220.22,347.89,85.09,87.93
AMNH,16265,121031.515,1080.583,1056.302,1070.98,1314.9,105020.004,903.719,1306.101,826.36,1556.63,713.3,1137.347,0.0975064,19.28,,border collie,0.025,0.026,182.04,290.26,70.34,73.37
AMNH,16266,125623.563,1286.755,1010.31,1306.53,1260.53,96881.459,663.331,1366.356,580.38,1613.83,777.4,1121.454,0.1024076,19.28,,border collie,0.026,0.027,196.59,283.60,75.96,71.68
